,country,Code_x,year,mortality,increase_mort,Code_y,smoke_prev,increse_smoke,CO,CO_mean,uplift_CO,O3,O3_mean,uplift_O3,PM,PM_mean,uplift_PM,Family,Freedom,Generosity,Region,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Trust (Government Corruption),Dystopia Residual
542,New Zealand,NZL,2017,27.37,-0.259999999999998,,,,0.060631555,0.06169515825,-0.002348979000000008,0.0472721661760128,0.046317012048921524,0.0025839604861032997,4.80829e-09,5.4555025e-09,-9.066500000000004e-10,1.54819512367249,0.614062130451202,0.500005125999451,,7.31400012969971,1.40570604801178,0.816759705543518,0.382816702127457,2.0464563369751
543,New Zealand,NZL,2018,28.24,0.8699999999999974,NZL,14.199999809265137,-2.3000001907348633,0.060665868,0.06169515825,3.431300000000109e-05,0.048008624024577,0.046317012048921524,0.0007364578485642009,5.33704e-09,5.4555025e-09,5.287499999999999e-10,,0.669,0.365,,7.324,1.268,0.876,0.389,
544,Nicaragua,NIC,2015,42.79,,,,,0.110148231,0.1109909515,,0.0463080839613173,0.04663411380736837,,1.8165e-08,1.5992299999999998e-08,,1.14184,0.55475,0.27815,Latin America and Caribbean,5.828,0.59325,0.74314,0.19317,2.32407
545,Nicaragua,NIC,2016,42.33,-0.46000000000000085,,,,0.116619025,0.1109909515,0.006470794000000002,0.0458635442612462,0.04663411380736837,-0.000444539700071106,1.58128e-08,1.5992299999999998e-08,-2.352200000000001e-09,0.89521,0.46582,0.29773,Latin America and Caribbean,5.992,0.69384,0.65213,0.16292,2.82428
546,Nicaragua,NIC,2017,41.91,-0.4200000000000017,,,,0.111914398,0.1109909515,-0.004704627000000003,0.0463612322897179,0.04663411380736837,0.0004976880284717003,1.44265e-08,1.5992299999999998e-08,-1.3862999999999996e-09,1.28721570968628,0.447551846504211,0.301674216985703,,6.07100009918213,0.737299203872681,0.653095960617065,0.130687981843948,2.51393055915833
547,Nicaragua,NIC,2018,41.31,-0.5999999999999943,,,,0.105282152,0.1109909515,-0.006632245999999994,0.0480035947171921,0.04663411380736837,0.0016423624274742032,1.55649e-08,1.5992299999999998e-08,1.1383999999999985e-09,,0.527,0.208,,6.141,0.668,0.7,0.128,
548,Niger,NER,2015,53.83,,NER,7.900000095367432,,0.177240294,0.18594835875,,0.0504452747643573,0.05052782157126678,,6.7968e-08,6.42471e-08,,0.77265,0.47692,0.19387,Sub-Saharan Africa,3.845,0.0694,0.29707,0.15639,1.87877
549,Niger,NER,2016,53.55,-0.28000000000000114,,,,0.191321861,0.18594835875,0.014081567000000017,0.0495050069539451,0.05052782157126678,-0.0009402678104121973,6.59803e-08,6.42471e-08,-1.9877000000000013e-09,0.6053,0.38041,0.2097,Sub-Saharan Africa,3.856,0.1327,0.26162,0.17176,2.09469
550,Niger,NER,2017,53.42,-0.12999999999999545,,,,0.184029081,0.18594835875,-0.007292779999999999,0.0505912922136797,0.05052782157126678,0.0010862852597346012,6.50801e-08,6.42471e-08,-9.00199999999999e-10,0.993025004863739,0.36365869641304,0.228673845529556,,4.02799987792969,0.161925330758095,0.26850500702858,0.138572946190834,1.87398338317871
551,Niger,NER,2018,53.06,-0.35999999999999943,NER,7.599999904632568,-0.3000001907348633,0.191202199,0.18594835875,0.007173117999999978,0.051569712353085,0.05052782157126678,0.0009784201394053005,5.796e-08,6.42471e-08,-7.120100000000006e-09,,0.39,0.175,,4.166,0.131,0.221,0.099,
